id,forecast_date,target_date,horizon_days,duration_months,target_quantile,current_price_cents_per_kwh,forecast_price_cents_per_kwh,expected_change_cents_per_kwh,interval_low_cents_per_kwh,interval_high_cents_per_kwh,hedge_cost_cents_per_kwh,retail_premium_cents_per_kwh,normal_retail_premium_cents_per_kwh,fair_price_cents_per_kwh,gap_cents_per_kwh,futures_trade_date,coverage_quality,confidence,direction,consumer_signal,contract_count,model_version,source_metadata,actual_price_cents_per_kwh,actual_change_cents_per_kwh,forecast_error_cents_per_kwh,absolute_error_cents_per_kwh,actual_direction,direction_correct,evaluated_at,created_at,updated_at
505,2026-06-13,2026-07-13,30,6,median,10.5638,10.4448,-0.1190,,,7.5577,3.0061,2.6094,10.1672,-0.3966,2026-06-12,all_monthly,low,slightly_falling,neutral,20,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2026-12-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 66, ""monthly_futures_months"": 6, ""quarter_futures_months"": 0, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",11.2000,0.6362,-0.7552,0.7552,rising,0,2026-07-13 04:45:01,2026-06-13 04:30:09,2026-07-13 04:45:01
508,2026-06-13,2026-07-13,30,12,median,10.1000,10.0407,-0.0593,,,7.4029,2.6971,2.4994,9.9023,-0.1977,2026-06-12,mixed_with_quarter_fallback,low,slightly_falling,neutral,51,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2027-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 66, ""monthly_futures_months"": 6, ""quarter_futures_months"": 6, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",10.0800,-0.0200,-0.0393,0.0393,slightly_falling,1,2026-07-13 04:45:01,2026-06-13 04:30:09,2026-07-13 04:45:01
511,2026-06-13,2026-07-13,30,24,median,9.0700,9.0352,-0.0348,,,6.6030,2.4670,2.3510,8.9540,-0.1160,2026-06-12,mixed_with_year_fallback,low,slightly_falling,neutral,50,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2028-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 3, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 66, ""monthly_futures_months"": 6, ""quarter_futures_months"": 15, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",9.1000,0.0300,-0.0648,0.0648,slightly_rising,1,2026-07-13 04:45:01,2026-06-13 04:30:10,2026-07-13 04:45:01
514,2026-06-14,2026-07-14,30,6,median,10.5638,10.4746,-0.0892,,,7.5577,3.0061,2.7086,10.2663,-0.2975,2026-06-12,all_monthly,low,slightly_falling,neutral,20,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2026-12-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 67, ""monthly_futures_months"": 6, ""quarter_futures_months"": 0, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",11.2000,0.6362,-0.7254,0.7254,rising,0,2026-07-14 04:45:01,2026-06-14 04:30:10,2026-07-14 04:45:01
517,2026-06-14,2026-07-14,30,12,median,10.1000,10.0555,-0.0445,,,7.4029,2.6971,2.5488,9.9517,-0.1483,2026-06-12,mixed_with_quarter_fallback,low,slightly_falling,neutral,51,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2027-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 67, ""monthly_futures_months"": 6, ""quarter_futures_months"": 6, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",10.0800,-0.0200,-0.0245,0.0245,slightly_falling,1,2026-07-14 04:45:01,2026-06-14 04:30:10,2026-07-14 04:45:01
520,2026-06-14,2026-07-14,30,24,median,9.0700,9.0439,-0.0261,,,6.6030,2.4670,2.3800,8.9830,-0.0870,2026-06-12,mixed_with_year_fallback,low,slightly_falling,neutral,50,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2028-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 3, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 67, ""monthly_futures_months"": 6, ""quarter_futures_months"": 15, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",9.1469,0.0769,-0.1030,0.1030,slightly_rising,1,2026-07-14 04:45:01,2026-06-14 04:30:10,2026-07-14 04:45:01
523,2026-06-15,2026-07-15,30,6,median,10.6482,10.5623,-0.0859,,,7.5577,3.0905,2.8041,10.3618,-0.2864,2026-06-12,all_monthly,low,slightly_falling,neutral,20,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2026-12-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 68, ""monthly_futures_months"": 6, ""quarter_futures_months"": 0, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",11.1000,0.4518,-0.5377,0.5377,rising,0,2026-07-15 04:45:00,2026-06-15 04:30:10,2026-07-15 04:45:00
526,2026-06-15,2026-07-15,30,12,median,10.1000,10.0666,-0.0334,,,7.4029,2.6971,2.5859,9.9888,-0.1112,2026-06-12,mixed_with_quarter_fallback,low,slightly_falling,neutral,51,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2027-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 68, ""monthly_futures_months"": 6, ""quarter_futures_months"": 6, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",10.0800,-0.0200,-0.0134,0.0134,slightly_falling,1,2026-07-15 04:45:01,2026-06-15 04:30:10,2026-07-15 04:45:01
529,2026-06-15,2026-07-15,30,24,median,9.0500,9.0349,-0.0151,,,6.6030,2.4470,2.3968,8.9998,-0.0502,2026-06-12,mixed_with_year_fallback,low,slightly_falling,neutral,50,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2028-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 3, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 68, ""monthly_futures_months"": 6, ""quarter_futures_months"": 15, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",9.1900,0.1400,-0.1551,0.1551,slightly_rising,1,2026-07-15 04:45:01,2026-06-15 04:30:10,2026-07-15 04:45:01
532,2026-06-16,2026-07-16,30,6,median,10.7294,10.6203,-0.1091,,,7.4406,3.2888,2.9253,10.3658,-0.3636,2026-06-15,all_monthly,low,slightly_falling,neutral,20,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2026-12-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 69, ""monthly_futures_months"": 6, ""quarter_futures_months"": 0, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",11.2000,0.4706,-0.5797,0.5797,rising,0,2026-07-16 04:45:00,2026-06-16 04:30:12,2026-07-16 04:45:00
535,2026-06-16,2026-07-16,30,12,median,10.1000,10.0439,-0.0561,,,7.2648,2.8352,2.6482,9.9130,-0.1870,2026-06-15,mixed_with_quarter_fallback,low,slightly_falling,neutral,51,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2027-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 69, ""monthly_futures_months"": 6, ""quarter_futures_months"": 6, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",10.0900,-0.0100,-0.0461,0.0461,slightly_falling,1,2026-07-16 04:45:00,2026-06-16 04:30:12,2026-07-16 04:45:00
538,2026-06-16,2026-07-16,30,24,median,9.0500,9.0241,-0.0259,,,6.5380,2.5120,2.4256,8.9635,-0.0865,2026-06-15,mixed_with_year_fallback,low,slightly_falling,neutral,50,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2028-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 3, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 69, ""monthly_futures_months"": 6, ""quarter_futures_months"": 15, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",9.3900,0.3400,-0.3659,0.3659,rising,0,2026-07-16 04:45:00,2026-06-16 04:30:12,2026-07-16 04:45:00
